post,reaction_count,repost,company,post_time,date_retrived
"Sparks flew when Australian brands Adventure Kings and 4WD Supacentre came together for a partnership campaign via independent integrated agency JOY. 🏕 Joined by Aussie golfer Cameron Smith and cricketers Brendan Julian and Brett Lee, the Aussie-as-can-be campaign has already achieved double digit growth in awareness, intention and sales volumes. More on Campaign Brief 👇 https://lnkd.in/dAk5gyA4 #advertising #growth",1,0,Kicker Communications,3w,2022-06-07
"Bringing experienced individuals from diverse backgrounds is a short-cut way of speeding up progress in a burgeoning industry. 🌾 🐄 Jordan Yeomans, Machine Learning Engineer MEQ Probe points out that for a sector that's set to reach $100 billion industry in 2030, #Agtech needs to do more to draw those in from financing and investment, operations, marketing, and sales, in addition to mechanical engineers, software developers, and machine learning engineers.Read about why Agtech needs more attention and talent on Startup Daily 👇 https://lnkd.in/eXpWFRXe#startup #investment #talent",4,0,Kicker Communications,2w,2022-06-07
"🎉  A big congratulations to Erin Zillman, Bridget Murphy and Nancy Tran for their new appointments at Foxtel Media!Three great additions to Foxtel Media’s powerhouse team.Read more on Mumbrella 👇 https://lnkd.in/eMMrQcUq #marketing #finance #advertising #innovation #media",19,0,Kicker Communications,3w,2022-06-07
"Do you often find yourself unable to relate to Aussie family representations in the media? 🏡 💡 New research from Pureprofile and Insights Exchange shows that in 5-10 years, fluid definitions of family will surpass traditional family structures. Currently, 1/3 Aussies do not relate to current ad and media portrayals of family.The study also revealed that Aussies are most worried about the rising costs of living and the impact of climate change. 🌏 Read more on B&T for other revelations 👇 https://lnkd.in/d6ha3DND#elections #australia #climatechange",3,0,Kicker Communications,2w,2022-06-07
"What comes to mind when you think of a sector that needs an investment boost? 💥 In Australia, the answer would be the agritech sector. 🐄 🌾 Though renowned globally for organic farming and beef & lamb production, Australia’s 2021 agritech venture activity failed to make it into Top 20 countries by Investment.Coupled with what the country has gone through in the past few years: drought, climate variability and biosecurity, MEQ Probe CEO Remo Carbone says the time to innovate in Aussie agritech is here, if Australia still wants to be an agri-leader.Read more on SmartCompany 👇  https://lnkd.in/gH8zTNUN#investment #innovation #technology",4,0,Kicker Communications,3w,2022-06-07
"Streaming service giant, Disney Streaming recently announced soon-to-come ads on their platforms. 📺 New #research by Pureprofile has revealed that #streaming service subscribers are more likely to expect a discount rather than pay more to remove ads from their streaming services. The majority of users are expecting a discount of 20%; for Netflix users this would be between a $2.2 ~ $4.6 discount.Are you part of the crowd?Read more on The Australian Financial Review to find out 👇 https://lnkd.in/gEqNq8jG",18,0,Kicker Communications,1mo,2022-06-07
"In light of #Covid and inflation, those nearing retirement have been increasingly worried about running out of their superannuation or having to work beyond the retirement age. 💼 However, there are also people who love what they do and do what they love, opting to “take a back seat” by working at a slower pace. Dr. Jana Matthews, the ANZ Chair of Business Growth and founding director of the Australian Centre for Business Growth, loves the role of helping #SME grow by teaching CEOs how to transform their companies (and their lives) for the better. Those that are willing to work 6 more years instead of retiring will also be able to “supercharge” their savings by 2x.Read the piece from The Australian Financial Review below for due diligence to plan your retirement 👇 https://lnkd.in/gQQy6rYs #business",3,0,Kicker Communications,1mo,2022-06-07
"Has the current rocky state of the world put a halt to your #investment efforts?Chris W., Head of Venture Capital at VentureCrowd, has provided some tips when it comes to conducting due diligence on ventures:1) Understand Human Capital by asking:⚪️ Who are the venture founders and what is their vision?⚪️ Who is part of the advisory board and do they have relevant experience?⚪️ Are external investors engaged?2) Look into their Financial Plans to see:⚪️ If the venture has clearly laid out their financial case for the business.⚪️ Whether investment platforms communicate the financial metrics that matter.⚪️ How the management plan details how the venture will raise, generate and spend capital.Click the link below for Tip #3 and #4 on Kochie's Business Builders👇 https://lnkd.in/gQVEFmMk #business #management #venturecapital #crowdfunding",3,0,Kicker Communications,2mo,2022-06-07
"A new diversified Health Tech Fund is on the scene as VentureCrowd partners with LuminaX Health Accelerator to fund startups in #foodtech, #medtech, #biotech and #digitalhealth. Focusing on health, wellness and sustainability, the partnership will allow wholesale investors to invest in multiple early-stage HealthTech ventures at once, a never-seen-before opportunity on Australian crowdfunding platforms.Investors will get first access to LuminaX Health Accelerator’s April 2022 cohort and Uniseed’s start ups.Read more to know about the unique partnership on Business News Australia Pty Ltd 👇 https://lnkd.in/gYSn_iHM #startup #crowdfunding",1,0,Kicker Communications,1mo,2022-06-07
"🥁 Drum Roll 🥁Integrated Agency JOY. has successfully completed its acquisition of Drum Agency 🎉 This takes JOY. to a team of 50 that specialises in holistic and innovative marketing. With a balance of blue chip and emerging clients, JOY. strengthens its position as one of Sydney’s few independent, mid-sized agencies ⚡️JOY. specialises holistic and innovative marketing, and after acquiring Drum Agency, which specialises in agile and provocative guerilla marketing, the synergy is due to ignite sparks. ⚡️ Read more about JOY. and Drum on Mumbrella 👇  https://lnkd.in/gJezUpYp #marketing #innovation #growth",4,0,Kicker Communications,2mo,2022-06-07
"In the age of the Great Resignation and post-Covid, is money still the main motivating factor for most career choices? 🗂💵According to Dr Jana Matthews from Australian Centre for Business Growth, the answer is no. 🚫🔑 Instead, the secret to retaining the best young people is to have these factors in your #business #culture 👇 ✅ Flexibility✅ Employee recognition✅ A sense of purpose instilled in your employeesRead more on The Advertiser for what workers are thinking post-Covid👇 https://lnkd.in/ghbBY4Je  #greatresignation #management #HR",7,0,Kicker Communications,2mo,2022-06-07
