post,reaction_count,repost_text,repost,company,post_time,date_retrived
Thanks for the post Stone & Chalk !,3,"Our resident Ping Services have officially announced the launch of their revolutionary Ice Detection System, poised to help wind turbine operators conserve energy and save money!With up to 30% of energy lost due to the negative impact of atmospheric icing on wind turbine blades, Ping have developed the solution with their ""world-first device that detects and notifies damage in real-time, using advanced acoustic analysis."" Read more about the groundbreaking new technology here: https://hubs.ly/Q018lpZN0 Matthew Stead",1,Ping,1mo,2022-06-07
We can't wait to head over to Sweden next week to take part in #Winterwind2022. Let us know if you'll be there!,14,"❄️ Last Call for #Winterwind2022 - April 19th-21st at Sara kulturhus, Skellefteå 🇸🇪 The international Winterwind conference has after 14 years evolved into a shared experience arena where industry and science meet to improve utilization of wind energy in harsh climates.❄️ Main Sponsor: Skellefteå Kraft AB❄️ GigaWatt Sponsors: W3 Energy, Kjeller Vindteknikk, wpd windmanager, VATTENFALL VINDKRAFT AB❄️ MegaWatt Sponsors: Phoenix Contact, ENERCON - Sweden, Wicetec, Vasa Vind, Wind Sweden, Weidmüller Monitoring Systems GmbH ❄️ KiloWatt Sponsors: Nordex Group, AQSystem❄️ Exhibitors: Deutsche Windtechnik, EMD International A/S, eologix sensor technology, Labkotec Group, Wölfel Group, UU, Vindval, Energiforsk, FT Technologies Ltd, Megger Sweden AB, Clobotics Wind Services, Connected Wind Service Sweden AB, Linnovation AB, EVVA Sicherheitstechnologie GmbH, SENTEA Fiber Optic Sensing, Ping Services, Industrikomponenter AB INKOM, TKF (BV Twentsche Kabelfabriek), Modvion, DNV, Fu-Gen , Skylark Control Ltd, Ramboll",1,Ping,2mo,2022-06-07
Thanks for the share Google Cloud!,12,"With #GoogleCloud and #Firebase, Ping Services monitors wind turbine health to provide stable wind-powered energy for homes across the globe. Find out how 👉 https://goo.gle/3w6cBIb",1,Ping,3w,2022-06-07
We're thrilled to be included in Omdena's '16 Rising CleanTech Startups Using AI for a Greener Future' list. It's not often we get called 'Rockstars'! 🙌,13,16 Top Startups Revolutionizing CleanTech through AI for GoodCheck out this list of game-changing startups using AI in a meaningful way to address our most pressing environmental and social challenges. 💯#omdena #impactstartups #cleantech #climatechange #ai #incubator #machinelearning #technology #startups,1,Ping,3mo,2022-06-07
none,4,"Windpower Monthly is proud to announce Ping Services and Weather Guard Lightning Tech as Exhibition Partners of #BladesUSA2022. Join them on February 22-23 in Austin, Texas by securing your place today https://buff.ly/3BJWZLq",1,Ping,3mo,2022-06-07
Thanks Startup Basecamp for including us in the top five Climate Tech startups to watch this week. In great company! 🌿 🎉,7,"5 Climate Tech Startups to Watch: December Week 2🎅🌱https://buff.ly/3mjht7pThis week marks our final startups to watch series for 2021! So far we've featured 155 startups since May this year and what an honor it's been🎉. Next year we hope to feature plenty more diverse teams creating even more impactful tech! In the meantime, here are 5 final climate tech teams we look forward to watching:Including: 💨Ping Services with Matthew Stead, Jon Cooper👨‍💼 Sust Global with Josh Gilbert, Gopal Erinjippurath💡 Dynamic Grid with Danielle Leighton 🚘Exponent Energy with Arun Vinayak, Sanjay Byalal Jagannath🌿 SeaH4 PTY Ltd with johannes bochdalofskyKnow of any we're missing? Submit them to our list for 2022! We've made a form to make it even easier 👉https://buff.ly/3lmJZEL#cleanenergy #climatetech #climateaction #cleantech",1,Ping,5mo,2022-06-07
none,2,"#CLEANPOWER2022 is coming up quickly, and we hope to see you there!",1,Ping,1mo,2022-06-07
Was great to have the opportunity to chat to the team Innovate Climate about Ping Monitors and how they reduce costs and increase efficiency through regular monitoring of blades.,2,"Check out this week's newsletter to learn more about the following startups:Ping Services helps turbine managers reduce maintenance costs by continuously monitoring for blade damage using sound.Founders: Matthew Stead, Jon CooperBorrow - JoinBorrow.com is the world’s first all-electric subscription car company, pioneering the EV subscription service market. Founders: Jon Alain Guzik, Rodrigo de GuzmanWEEE Centre is an e-waste recycling company in Kenya serving over 5000 customers across the African continent to ensure safe and circular disposal of electronic waste. Founders: Bonnie Mbithi And a shout out to VertueLab as a sponsor of today's newsletter!#climatetech #sustainability #startups #windturbine #electricvehicles #recycling",1,Ping,6mo,2022-06-07
Thanks HolonIQ,6,Congratulations to the Top 100 Climate Tech Startups in Australia and New Zealand. Download the Climate Tech Landscape 1.0 at https://lnkd.in/gABj-3J7 and benchmark the Australia and New Zealand Climate Tech 100 globally. Climate Salad Licella CarbonScape Pacific Hydro Australia Capricorn Power Gridcognition Allume Energy RayGen Greatcell Solar Materials Okra Solar 5B SwitchDin Carnegie Wave Energy Power Plant Bombora Wave Swell Energy Ping Services Diffuse Energy Carbon280 Hydrilyte™ Hydrogen Storage Systems LAVO™ HB11 Energy Avertana Mineral Carbonation International (MCi)#renewables #renewableenergy #cleanenergy #energy #greenenergy #solar #sdg #sdg13 #sdg7,1,Ping,7mo,2022-06-07
none,15,A simple way to monitor your turbine blades 24/7 without the need for additional human resourcehttps://bit.ly/3nEULb2#partnercontent #windpower #renewables,1,Ping,6mo,2022-06-07
