tech,link,title,date_,publisher_,source_type_,business_index_term
renewable energy,https://www.proquest.com/anznews/docview/2675685994/6318A2DF6E4C4591PQ/526?accountid=14649,"Objections to Clifton sculpture fall on deaf ears. Letters, June 14, 2022","Jun 14, 2022",Fairfax Digital,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2723249576/6318A2DF6E4C4591PQ/527?accountid=14649,Power of pain on way,"Oct 11, 2022",Nationwide News Pty Ltd,Newspaper,"['Coal-fired power plants;', 'Tariffs']"
renewable energy,https://www.proquest.com/anznews/docview/2662041364/6318A2DF6E4C4591PQ/528?accountid=14649,Humble's fight for personal freedoms,"May 12, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2702229215/6318A2DF6E4C4591PQ/529?accountid=14649,It's great to see Tassie leading the charge,"Aug 16, 2022",Fairfax Media Publications Pty Limited,Newspaper,"['Airports;', 'Inflation Reduction Act 2022-US']"
renewable energy,https://www.proquest.com/anznews/docview/2661570217/6318A2DF6E4C4591PQ/530?accountid=14649,Humble's fight for personal freedoms,"May 11, 2022",Fairfax Media Publications Pty Limited,Newspaper,
renewable energy,https://www.proquest.com/anznews/docview/2717340100/6318A2DF6E4C4591PQ/531?accountid=14649,Solar garden project to include Canberrans,"Sep 25, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Cost control']
renewable energy,https://www.proquest.com/anznews/docview/2719030781/6318A2DF6E4C4591PQ/532?accountid=14649,AGL Energy stakes $20b on coal exit plan,"Sep 30, 2022",Fairfax Media Publications Pty Limited,Newspaper,"['Chief executive officers;', 'Coal-fired power plants']"
renewable energy,https://www.proquest.com/anznews/docview/2720031469/6318A2DF6E4C4591PQ/533?accountid=14649,Property falls hit Sydney hardest: House Prices,"Oct 3, 2022",Fairfax Digital,Newspaper,"['International finance;', 'Interest rates;', 'Exports;', 'Securities markets']"
renewable energy,https://www.proquest.com/anznews/docview/2703035899/6318A2DF6E4C4591PQ/534?accountid=14649,Letters to the editor,"Aug 18, 2022",Fairfax Media Publications Pty Limited,Newspaper,"['Tax credits;', 'Job creation']"
renewable energy,https://www.proquest.com/anznews/docview/2712889071/6318A2DF6E4C4591PQ/535?accountid=14649,A more prosperous future awaits if we can shift big city focus,"Sep 13, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Productivity']
