tech,link,title,date_,publisher_,source_type_,business_index_term
virtual reality,https://www.proquest.com/anznews/docview/2427382235/7D2D2914166A4E20PQ/461?accountid=14649,"I’m here for you, bro","Jul 28, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2258227661/7D2D2914166A4E20PQ/462?accountid=14649,error 404 :),error 404 :),error 404 :),error 404 :),error 404 :)
virtual reality,https://www.proquest.com/anznews/docview/2429474486/7D2D2914166A4E20PQ/463?accountid=14649,ONE IN A MILLION True-blue heroes of war in the Pacific,"Aug 2, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2399952607/7D2D2914166A4E20PQ/464?accountid=14649,Blarney and good craic,"May 10, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2383538855/7D2D2914166A4E20PQ/465?accountid=14649,error 404 :),error 404 :),error 404 :),error 404 :),error 404 :)
virtual reality,https://www.proquest.com/anznews/docview/2429329971/7D2D2914166A4E20PQ/466?accountid=14649,Heroic war stories by a sole survivor,"Aug 1, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2303801003/7D2D2914166A4E20PQ/467?accountid=14649,HOURS FLY IN DUBAI,"Oct 13, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2385762386/7D2D2914166A4E20PQ/468?accountid=14649,BAZAAR ENCOUNTERS,"Apr 5, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2393632027/7D2D2914166A4E20PQ/469?accountid=14649,Mark the day on homefront,"Apr 24, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2168183853/7D2D2914166A4E20PQ/470?accountid=14649,SHOW WITH SHINE,"Jan 18, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2441643783/7D2D2914166A4E20PQ/471?accountid=14649,Summer of ’42,"Sep 13, 2020",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2222172988/7D2D2914166A4E20PQ/472?accountid=14649,BLINDING THEM WITH SCIENCE,"May 10, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2266409919/7D2D2914166A4E20PQ/473?accountid=14649,School means business,"Jul 31, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2223002908/7D2D2914166A4E20PQ/474?accountid=14649,Naracoorte High School unveils STEM Centre,"May 12, 2019",Fairfax Media Publications Pty Limited,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2225344469/7D2D2914166A4E20PQ/475?accountid=14649,$2.5m STEM Building,"May 16, 2019",Fairfax Media Publications Pty Limited,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2227393412/7D2D2914166A4E20PQ/476?accountid=14649,error 404 :),error 404 :),error 404 :),error 404 :),error 404 :)
virtual reality,https://www.proquest.com/anznews/docview/2251736166/7D2D2914166A4E20PQ/477?accountid=14649,"Classic Arthur Miller, Calder at the NGV, and Sondheim's lyrical horror tale returns","Jul 5, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2210052827/7D2D2914166A4E20PQ/478?accountid=14649,Seven Days TV,"Mar 31, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2252436217/7D2D2914166A4E20PQ/479?accountid=14649,Junction Arts Festival ups the ante,"Jul 6, 2019",Nationwide News Pty Ltd,Newspaper,
virtual reality,https://www.proquest.com/anznews/docview/2201799786/7D2D2914166A4E20PQ/480?accountid=14649,Seven Days TV,"Feb 10, 2019",Nationwide News Pty Ltd,Newspaper,
