company,link,title,date_,publisher_,source_type_
Southstart,https://www.proquest.com/anznews/docview/2133922095/6382070B76A943EDPQ/72?accountid=14649,Success is possible – and I’m proof of that,"Nov 17, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1636316541/6382070B76A943EDPQ/73?accountid=14649,3D Voxiebox comes to life - layer upon layer [Advertiser Edition],"Dec 16, 2014",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1437156083/6382070B76A943EDPQ/74?accountid=14649,WORKOUT,"Sep 28, 2013",News Limited,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1648096461/6382070B76A943EDPQ/75?accountid=14649,ENTREPRENEURS' WEEK EVENTS [Advertiser Edition],"Jan 27, 2015",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2136579095/6382070B76A943EDPQ/76?accountid=14649,Build start-up strengths,"Nov 23, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2316051860/6382070B76A943EDPQ/77?accountid=14649,Strength celebrated on National Ag Day,"Nov 21, 2019",Fairfax Media Publications Pty Limited,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1709812006/6382070B76A943EDPQ/78?accountid=14649,Motion stands out from the crowd,"Sep 8, 2015",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2316440588/6382070B76A943EDPQ/79?accountid=14649,Aussies well placed to be leaders in wine tech,"Nov 22, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1553701981/6382070B76A943EDPQ/80?accountid=14649,Collaboration of ideas means working smart [Advertiser Edition],"Aug 19, 2014",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2013322109/6382070B76A943EDPQ/81?accountid=14649,Dening start up business is taking off,"Mar 14, 2018",Fairfax Media Publications Pty Limited,Newspaper
Southstart,https://www.proquest.com/anznews/docview/1876192322/6382070B76A943EDPQ/82?accountid=14649,Battery farm may solve state power woe,"Mar 12, 2017",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2134323433/6382070B76A943EDPQ/83?accountid=14649,DJ duo to power up street party in CBD,"Nov 18, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2134833547/6382070B76A943EDPQ/84?accountid=14649,DJ duo to power up street party in CBD,"Nov 18, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2063328210/6382070B76A943EDPQ/85?accountid=14649,SA’s Payhero sold to ASX firm,"Jul 4, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2228241511/6382070B76A943EDPQ/86?accountid=14649,Venture fund could avoid Blue Sky blues,"May 22, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2312558291/6382070B76A943EDPQ/87?accountid=14649,I woke up and drew the whole d’Arenberg Cube design on the kitchen bench in about 20 minutes,"Nov 8, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2136235539/6382070B76A943EDPQ/88?accountid=14649,Overseas talent will help sell SA tech to the world,"Nov 22, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2227915329/6382070B76A943EDPQ/89?accountid=14649,Venture fund could avoid Blue Sky blues,"May 22, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2138081022/6382070B76A943EDPQ/90?accountid=14649,‘Listen to your inner voice to get a start’,"Nov 28, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2314931976/6382070B76A943EDPQ/91?accountid=14649,"Dream big and shoot for the moon, SA","Nov 18, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2315987670/6382070B76A943EDPQ/92?accountid=14649,Local start-ups finding a space in the world,"Nov 21, 2019",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2131907114/6382070B76A943EDPQ/93?accountid=14649,Breaking the ice for new connections,"Nov 13, 2018",Nationwide News Pty Ltd,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2015515721/6382070B76A943EDPQ/94?accountid=14649,Dening start up business,"Mar 21, 2018",Fairfax Media Publications Pty Limited,Newspaper
Southstart,https://www.proquest.com/anznews/docview/2136282484/6382070B76A943EDPQ/95?accountid=14649,New entrepreneur visa rolled out in SA,"Nov 21, 2018",Australian Associated Press Pty Limited,Wire Feed
SpendAble,https://www.proquest.com/anznews/docview/2673434769/668790A91B824C19PQ/1?accountid=14649,Banking on new tech to buy more freedom,"Jun 7, 2022",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/2488521523/668790A91B824C19PQ/2?accountid=14649,Problem is the tax on our super is too high,"Feb 11, 2021",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/2488318837/668790A91B824C19PQ/3?accountid=14649,Problem is the tax on our super is too high,"Feb 12, 2021",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/1910845792/668790A91B824C19PQ/4?accountid=14649,Sly totally spendable,"Jun 20, 2017",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/355071603/668790A91B824C19PQ/5?accountid=14649,Proud new employees: [1 State Edition],"Dec 26, 2006",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/815241017/668790A91B824C19PQ/6?accountid=14649,2022 CUP BID Aussie anger over revenue-raising Lowy red-cards report,"Dec 2, 2010",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/2294524362/668790A91B824C19PQ/7?accountid=14649,The battle royal to keep shoppers loyal,"Sep 22, 2019",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/363922156/668790A91B824C19PQ/8?accountid=14649,Are you getting enough?; Cover story: [Late Edition],"Jun 18, 2003",Fairfax Digital,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/356751977/668790A91B824C19PQ/9?accountid=14649,MULTIPLE ARMS FOR MOELIS,"Jun 2, 2010",Nationwide News Pty Ltd,Newspaper
SpendAble,https://www.proquest.com/anznews/docview/356709667/668790A91B824C19PQ/10?accountid=14649,MULTIPLE ARMS FOR MOELIS,"Jun 2, 2010",Nationwide News Pty Ltd,Newspaper
SQUASH RACKETS ASSOCIATION OF SA INC,https://www.proquest.com/anznews/docview/872619267/4A9771F718224A94PQ/1?accountid=14649,Play it HARD Advertising FeatureTHE STATE OF SPORT IN SAHow to get involvedJust a phone call away: [1 STATE Edition],"Mar 18, 2001",Nationwide News Pty Ltd,Newspaper
Startup Adelaide,https://www.proquest.com/anznews/docview/2544262607/F26E124F24DA47ECPQ/1?accountid=14649,The challenge to innovate,"Jun 24, 2021",Fairfax Media Publications Pty Limited,Newspaper
Startup Adelaide,https://www.proquest.com/anznews/docview/2543771464/F26E124F24DA47ECPQ/2?accountid=14649,The challenge to innovate,"Jun 23, 2021",Fairfax Media Publications Pty Limited,Newspaper
Startup Adelaide,https://www.proquest.com/anznews/docview/1935010016/F26E124F24DA47ECPQ/3?accountid=14649,Adelaide’s ascent in a state of start-ups,"Sep 5, 2017",Nationwide News Pty Ltd,Newspaper
Startup Adelaide,https://www.proquest.com/anznews/docview/1875136229/F26E124F24DA47ECPQ/4?accountid=14649,Techstars strikes Gold for Adelaide start-ups,"Mar 9, 2017",Nationwide News Pty Ltd,Newspaper
